date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:28:29	65501/65501	---M-Z	200	added ('OK')	text/html	etag:%2233840-1690353299;gz%22	https://ride-e.bike/	yes/websitedemo01/ride-e.bike/index.html	(from )
19:28:29	32/32	---M--	200	added ('OK')	text/plain	etag:%2233881-1690358630;;;%22	https://ride-e.bike/robots.txt		(from )
19:28:29	12098/12098	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2020%20Jul%202023%2005:56:37%20GMT	https://ride-e.bike/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	yes/websitedemo01/ride-e.bike/wp-content/plugins/litespeed-cache/assets/js/webfontloader.min.js	(from https://ride-e.bike/)
19:28:30	446870/446870	---M-Z	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202023%2006:15:41%20GMT	https://ride-e.bike/wp-content/litespeed/css/64a478499753767442d68f4d57c59fe8.css?ver=fcdb3	yes/websitedemo01/ride-e.bike/wp-content/litespeed/css/64a478499753767442d68f4d57c59fe87678.css	(from https://ride-e.bike/)
19:28:31	1229/1229	---M--	403	error ('Forbidden')	text/html	date:Wed,%2026%20Jul%202023%2017:28:31%20GMT	https://ride-e.bike/xmlrpc.php?rsd	yes/websitedemo01/ride-e.bike/xmlrpc0db0.php	(from https://ride-e.bike/)
19:28:32	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2001:19:12%20GMT	https://ride-e.bike/wp-includes/wlwmanifest.xml	yes/websitedemo01/ride-e.bike/wp-includes/wlwmanifest.xml	(from https://ride-e.bike/)
19:28:33	3536/3536	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jun%202023%2011:32:58%20GMT	https://ride-e.bike/wp-content/uploads/2021/09/cropped-favicon-1-150x150.png	yes/websitedemo01/ride-e.bike/wp-content/uploads/2021/09/cropped-favicon-1-150x150.png	(from https://ride-e.bike/)
19:28:34	4347/4347	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jun%202023%2011:32:58%20GMT	https://ride-e.bike/wp-content/uploads/2021/09/cropped-favicon-1-200x200.png	yes/websitedemo01/ride-e.bike/wp-content/uploads/2021/09/cropped-favicon-1-200x200.png	(from https://ride-e.bike/)
19:28:35	10573/10573	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2022%20Mar%202022%2015:21:41%20GMT	https://ride-e.bike/wp-content/themes/ridee/assets/images/ride-e-logo-font.svg	yes/websitedemo01/ride-e.bike/wp-content/themes/ridee/assets/images/ride-e-logo-font.svg	(from https://ride-e.bike/)
19:28:36	65503/65503	---MCZ	200	added ('OK')	text/html	etag:%2234147-1690392514;gz%22	https://ride-e.bike/page/2/	yes/websitedemo01/ride-e.bike/page/2/index.html	(from https://ride-e.bike/)
19:28:36	71046/71046	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Nov%202022%2015:35:24%20GMT	https://ride-e.bike/wp-content/uploads/2022/11/pexels-thomas-challenger-10709375-560x560.jpg	yes/websitedemo01/ride-e.bike/wp-content/uploads/2022/11/pexels-thomas-challenger-10709375-560x560.jpg	(from https://ride-e.bike/)
19:28:36	248881/248881	---MC-	200	added ('OK')	application/json	etag:%2234146-1690392514;;;%22	https://ride-e.bike/wp-json/	yes/websitedemo01/ride-e.bike/wp-json/index.html	(from https://ride-e.bike/)
19:28:37	66162/66162	---MCZ	200	added ('OK')	text/html	etag:%2233922-1690363511;gz%22	https://ride-e.bike/rowery/	yes/websitedemo01/ride-e.bike/rowery/index.html	(from https://ride-e.bike/)
19:28:37	88433/88433	---MCZ	200	added ('OK')	text/html	etag:%2233968-1690365788;gz%22	https://ride-e.bike/newsy/	yes/websitedemo01/ride-e.bike/newsy/index.html	(from https://ride-e.bike/)
19:28:37	84532/84532	---MCZ	200	added ('OK')	text/html	etag:%2233967-1690365788;gz%22	https://ride-e.bike/porady/	yes/websitedemo01/ride-e.bike/porady/index.html	(from https://ride-e.bike/)
19:28:37	88471/88471	---MCZ	200	added ('OK')	text/html	etag:%2233966-1690365787;gz%22	https://ride-e.bike/elektronika/	yes/websitedemo01/ride-e.bike/elektronika/index.html	(from https://ride-e.bike/)
19:28:38	44794/44794	---M--	200	added ('OK')	image/jpeg	date:Fri,%2025%20Nov%202022%2011:36:27%20GMT	https://ride-e.bike/wp-content/uploads/2022/11/XXXXZIMA-570x270.jpg	yes/websitedemo01/ride-e.bike/wp-content/uploads/2022/11/XXXXZIMA-570x270.jpg	(from https://ride-e.bike/)
19:28:39	53136/53136	---M--	200	added ('OK')	image/jpeg	date:Sun,%2006%20Feb%202022%2012:42:51%20GMT	https://ride-e.bike/wp-content/uploads/2022/02/04_rise_rs_range-560x560.jpg	yes/websitedemo01/ride-e.bike/wp-content/uploads/2022/02/04_rise_rs_range-560x560.jpg	(from https://ride-e.bike/)
19:28:40	65649/65649	---MCZ	200	added ('OK')	text/html	etag:%2234024-1690368150;gz%22	https://ride-e.bike/uzywany-rower-elektryczny-rozsadna-oszczednosc-czy-niepotrzebne-ryzyko/	yes/websitedemo01/ride-e.bike/uzywany-rower-elektryczny-rozsadna-oszczednosc-czy-niepotrzebne-ryzyko/index.html	(from https://ride-e.bike/)
19:28:40	78470/78470	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Jul%202023%2017:28:34%20GMT	https://ride-e.bike/wp-content/litespeed/js/ae65d5d3577d4cc91927cc045fd55df5.js?ver=55df5	yes/websitedemo01/ride-e.bike/wp-content/litespeed/js/ae65d5d3577d4cc91927cc045fd55df5cb84.js	(from https://ride-e.bike/)
